Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
2,1/3/2020,04/03/2020,45101804646LAXXX,45101804646LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,6,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/03/2020,F2807,04/29/2020
PO conf,1/3/2020,PO conf,45101804648ABLR9,45101804648AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,8,1,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/08/2020
0,1/3/2020,04/13/2020,45101804648LALR9,45101804648LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,8,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,04/13/2020,F2807,05/11/2020
3,1/3/2020,03/09/2020,45101804649LALR9,45101804649LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,9,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/09/2020,F2807,04/03/2020
2,1/3/2020,03/11/2020,45101804649LALR9,45101804649LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,9,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/11/2020,F2807,04/06/2020
7,1/3/2020,04/06/2020,45101804649LALR9,45101804649LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,9,4,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,04/06/2020,F2807,04/27/2020
PO conf,1/3/2020,PO conf,45101804649ABLR9,45101804649AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,9,5,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/03/2020
PO conf,1/3/2020,PO conf,45101804649ABLR9,45101804649AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,9,7,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/06/2020
PO conf,1/3/2020,PO conf,45101804649ABLR9,45101804649AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,9,9,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/24/2020
0,1/3/2020,03/23/2020,451018046410LALR9,451018046410LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,10,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
4,1/3/2020,03/27/2020,451018046410LALR9,451018046410LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,10,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,FDT503013845,03/27/2020,F2807,04/20/2020
0,1/3/2020,03/23/2020,451018046410LALR9,451018046410LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,10,3,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,451018046410ABLR9,451018046410AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,10,4,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
0,1/3/2020,03/23/2020,451018046411LALR9,451018046411LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,11,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
0,1/3/2020,03/23/2020,451018046411LALR9,451018046411LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,11,3,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
0,1/3/2020,03/23/2020,451018046411LALR9,451018046411LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,11,4,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
